分类: 卫视, 名称: 青海卫视, 有效: 5, IPv4: 243, IPv6: 0, 最小延迟: 589 ms, 最高速率: 12.27 M/s, 平均速率: 5.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 山东卫视, 有效: 5, IPv4: 305, IPv6: 0, 最小延迟: 590 ms, 最高速率: 11.78 M/s, 平均速率: 6.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 山西卫视, 有效: 5, IPv4: 175, IPv6: 0, 最小延迟: 668 ms, 最高速率: 12.60 M/s, 平均速率: 6.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 陕西卫视, 有效: 5, IPv4: 215, IPv6: 0, 最小延迟: 546 ms, 最高速率: 10.27 M/s, 平均速率: 7.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 四川卫视, 有效: 5, IPv4: 325, IPv6: 0, 最小延迟: 7 ms, 最高速率: 13.12 M/s, 平均速率: 6.63 M/s, 最高分辨率: 3840x2160, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 深圳卫视, 有效: 5, IPv4: 328, IPv6: 0, 最小延迟: 583 ms, 最高速率: 9.72 M/s, 平均速率: 6.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 三沙卫视, 有效: 5, IPv4: 110, IPv6: 0, 最小延迟: 360 ms, 最高速率: 18.47 M/s, 平均速率: 7.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 天津卫视, 有效: 5, IPv4: 315, IPv6: 0, 最小延迟: 591 ms, 最高速率: 13.11 M/s, 平均速率: 8.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 西藏卫视, 有效: 5, IPv4: 148, IPv6: 0, 最小延迟: 551 ms, 最高速率: 16.64 M/s, 平均速率: 10.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 新疆卫视, 有效: 5, IPv4: 175, IPv6: 0, 最小延迟: 319 ms, 最高速率: 8.05 M/s, 平均速率: 6.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 云南卫视, 有效: 5, IPv4: 248, IPv6: 0, 最小延迟: 550 ms, 最高速率: 7.36 M/s, 平均速率: 4.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.85, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视, 名称: 兵团卫视, 有效: 5, IPv4: 150, IPv6: 0, 最小延迟: 518 ms, 最高速率: 6.98 M/s, 平均速率: 4.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 北京, 名称: 北京文艺, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 10323 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 农林卫视, 有效: 0, IPv4: 29, IPv6: 0, 最小延迟: 10009 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
